ADJ,PUNCT,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,AUX,ADP,PRON,ADJ,ADJ,NOUN,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADJ,ADP,DET,NOUN,PRON,VERB,ADP,AUX,ADJ,PUNCT,CCONJ,PRON,VERB,SCONJ,DET,NOUN,AUX,AUX,ADV,ADJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,AUX,VERB,PRON,ADP,PRON,NOUN,CCONJ,NOUN,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,AUX,AUX,VERB,ADP,ADJ,NOUN,PART,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,ADP,DET,PUNCT,PROPN,PROPN,PROPN,PUNCT,AUX,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCONJ,PRON,VERB,DET,NOUN,PUNCT,ADP,PUNCT,PUNCT,PROPN,PUNCT,AUX,PART,ADV,ADJ,PUNCT,SCONJ,PRON,ADV,ADV,VERB,NUM,NOUN,PART,NOUN,CCONJ,NOUN,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,PRON,AUX,VERB,ADJ,ADP,NUM,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,ADJ,NOUN,AUX,VERB,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTJ,PUNCT,SCONJ,DET,NOUN,ADP,DET,ADJ,NOUN,AUX,ADV,ADJ,CCONJ,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADJ,NOUN,PUNCT,PRON,AUX,VERB,CCONJ,VERB,SCONJ,ADJ,NOUN,AUX,VERB,SCONJ,PRON,VERB,DET,NOUN,PUNCT,PRON,PRON,VERB,ADV,ADJ,AUX,VERB,CCONJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADJ,ADP,ADJ,NOUN,PART,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,PROPN,NOUN,ADV,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCONJ,DET,NOUN,ADP,DET,PUNCT,NOUN,NOUN,PUNCT,AUX,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,DET,NOUN,AUX,ADJ,ADP,VERB,PRON,ADV,CCONJ,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,ADV,ADP,ADJ,NOUN,PART,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM,NOUN,PUNCT,DET,ADJ,NOUN,VERB,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,DET,NOUN,PART,NOUN,VERB,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,ADP,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCT,ADV,PROPN,VERB,ADP,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PRON,VERB,DET,ADJ,NOUN,PRON,AUX,VERB,ADP,PRON,CCONJ,VERB,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,ADJ,NOUN,PUNCT,PROPN,VERB,SCONJ,DET,ADJ,NOUN,AUX,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,ADV,VERB,DET,NOUN,PRON,VERB,DET,ADJ,NOUN,CCONJ,AUX,VERB,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,PROPN,AUX,PART,VERB,DET,NOUN,CCONJ,NOUN,PUNCT,CCONJ,PRON,NOUN,CCONJ,PROPN,VERB,PART,VERB,ADV,PUNCT,CCONJ,PRON,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,ADP,DET,NOUN,ADV,CCONJ,VERB,ADP,PRON,ADP,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,DET,NOUN,PUNCT,DET,ADJ,NOUN,ADV,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,AUX,ADV,ADJ,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,CCONJ,VERB,ADP,ADP,DET,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PRON,VERB,PRON,NOUN,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,ADP,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,PROPN,PROPN,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,ADP,PRON,ADJ,NOUN,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,VERB,DET,AUX,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,ADV,VERB,DET,NOUN,PUNCT,DET,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP,DET,ADJ,NOUN,PRON,AUX,VERB,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,ADV,VERB,PRON,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,VERB,DET,ADJ,NOUN,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,PROPN,PROPN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,PART,VERB,NOUN,ADP,DET,ADJ,NOUN,NOUN,PUNCT,PRON,PRON,AUX,AUX,ADP,NUM,NOUN,ADP,ADV,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,ADV,ADJ,PUNCT,CCONJ,PRON,VERB,PRON,AUX,AUX,ADJ,ADJ,NOUN,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,PUNCT,PRON,VERB,PART,VERB,PRON,AUX,DET,ADJ,NOUN,PART,VERB,DET,ADJ,NOUN,NOUN,PUNCT,PRON,PUNCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
