,sentence
0,Dear : Jane Clark.
1,I had been to your annual international art festival.
2,"Most of the events I went to were good, but I feel that the festival could be even better next year."
3,"So, I write some of my opinions and suggestions to you."
4,I hope it's may help for next year's festival.
5,"The idea of an ""International Art Festival"" was great."
6,"But I feel the word ""of""/""International"" was not really suitable; because you just only got six countries' stars and artists came."
7,I think you should invite more than ten countries.
8,The other problem was choosing space.
9,"Like, as the hall of the classical concert was too small and crowded."
10,"Next year, you should calculate or examine how many people will come before you choose a hall, which I feel very good was played and films."
11,It can show more for next year's festival.
12,The Dance Shows as well.
13,"And the offer of a ""weekend ticket"" was an excellent idea."
14,Because the price was cheaper than buying it separately and more convenient.
15,Looking forward to next year's festival.
16,"One day, a little girl called Sara."
17,She was walking over a bridge.
18,"Suddenly, she heard a man's voice calling her."
19,The original sentence is correct: Sara.
20,Look down to the river.
21,"""Then Sara looked down into the river."
22,She was very scared.
23,"Because, because she saw a golden fish who was smiling at her and talking to her."
24,"After a few seconds, Sara felt that the golden fish was lovely."
25,She has never seen any fish that had that wonderful color and can talk with her.
26,"Because Sara hasn't got any brothers and sisters, and her Mom and Dad need to work everyday, so she was very lonely."
27,"Therefore, she came to the river everyday and talked about everything with the golden fish."
28,They were very close friend.
29,"After half a year, the golden fish suddenly disappears."
30,Sara was very sad.
31,She sat and cried on the river.
32,"Then somebody called her name "": Sara"""
33,I'm standing on your left hand side.
34,Sara remembered the was golden fish.
35,"She becomes a human, a little boy."
36,"After a few days, they got married."
37,Both together had their wonderful life.
38,This story happened a long time ago.
39,"I am writing to give suggestions for the international art festival, which I have been to one week before ago."
40,"It was really good, but I feel it could be better next year."
41,"Firstly, I want to say it is a great idea to have this international arts festival, it."
42,"It is very interesting, especially for the young people."
43,I went to this festival with four friends and all of us enjoyed our time there very much.
44,"It was said that stars and artists from around the world would be there on the advertisement, but in fact they were from only six different countries, so I hope there will be artists from more different countries next year."
45,"Although the jazz, rock and classical music was great, some concerts and halls were too small. Could."
46,Could you consider making them bigger next year.
